Length,Width,Freq [GHz],S11,S21,,,,,,,,
100,27,9,-26.21300819,-0.010399282,,,,,,,,
100,27,9.2,-24.98764013,-0.013794623,,,,,,,,
100,27,9.4,-23.83592588,-0.01799248,,,,,,,,
100,27,9.6,-22.75876854,-0.023070685,,,,,,,,
100,27,9.8,-21.76009405,-0.0290554,,,,,,,,
100,27,10,-20.8470562,-0.035881578,,,,,,,,
120,15,5,-54.33370836,-187.3265578,,,,,,,,
120,15,5.2,-54.35828254,-184.6952517,,,,,,,,
120,15,5.4,-54.37309706,-181.9233217,,,,,,,,
120,15,5.6,-54.37591766,-179.0046021,,,,,,,,
120,15,5.8,-54.36416575,-175.9321788,,,,,,,,
120,15,6,-54.33486905,-172.6982654,,,,,,,,
120,15,6.2,-54.2846068,-169.2940517,,,,,,,,
120,15,6.4,-54.20944977,-165.709515,,,,,,,,
120,15,6.6,-54.10489539,-161.9331832,,,,,,,,
120,15,6.8,-53.96579906,-157.951835,,,,,,,,
120,15,7,-53.78630323,-153.7501125,,,,,,,,
120,15,7.2,-53.55976726,-149.3100161,,,,,,,,
120,15,7.4,-53.27870283,-144.6102323,,,,,,,,
120,15,7.6,-52.93472411,-139.625223,,,,,,,,
120,15,7.8,-52.51853009,-134.3239622,,,,,,,,
120,15,8,-52.01995599,-128.6681388,,,,,,,,
120,15,8.2,-51.42817675,-122.6095182,,,,,,,,
120,15,8.4,-50.73226152,-116.0859252,,,,,,,,
120,15,8.6,-49.92259061,-109.0148465,,,,,,,,
120,15,8.8,-48.99456572,-101.2826577,,,,,,,,
120,15,9,-47.95911592,-92.72513283,,,,,,,,
120,15,9.2,-46.87683787,-83.08864025,,,,,,,,
120,15,9.4,-45.99890692,-71.94164809,,,,,,,,
120,15,9.6,-46.72462027,-58.42542166,,,,,,,,
120,15,9.8,-47.68323786,-40.20854335,,,,,,,,
120,15,10,-2.909068643,-3.113947337,,,,,,,,
120,18,5,-61.03911553,-143.5891682,,,,,,,,
120,18,5.2,-61.05952709,-140.22549,,,,,,,,
120,18,5.4,-61.06439187,-136.6429338,,,,,,,,
120,18,5.6,-61.04873585,-132.8239833,,,,,,,,
120,18,5.8,-61.00602535,-128.7478265,,,,,,,,
120,18,6,-60.9275397,-124.3894337,,,,,,,,
120,18,6.2,-60.80143479,-119.7182713,,,,,,,,
120,18,6.4,-60.61132349,-114.6964546,,,,,,,,
120,18,6.6,-60.3340966,-109.2760115,,,,,,,,
120,18,6.8,-59.9365537,-103.3946656,,,,,,,,
120,18,7,-59.37020589,-96.9690244,,,,,,,,
120,18,7.2,-58.56341924,-89.88289281,,,,,,,,
120,18,7.4,-57.41021279,-81.96561506,,,,,,,,
120,18,7.6,-55.7568579,-72.94748288,,,,,,,,
120,18,7.8,-53.39832701,-62.35284024,,,,,,,,
120,18,8,-50.19361642,-49.17226724,,,,,,,,
120,18,8.2,-49.74417502,-30.18286786,,,,,,,,
120,18,8.4,-16.63454604,-0.095298468,,,,,,,,
120,18,8.6,-24.37823448,-0.015876488,,,,,,,,
120,18,8.8,-15.22257667,-0.132474885,,,,,,,,
120,18,9,-12.71693458,-0.238767116,,,,,,,,
120,18,9.2,-12.07601462,-0.277976143,,,,,,,,
120,18,9.4,-12.57493879,-0.246932678,,,,,,,,
120,18,9.6,-14.21513097,-0.167737866,,,,,,,,
120,18,9.8,-17.5201767,-0.077560193,,,,,,,,
120,18,10,-23.87392011,-0.017835437,,,,,,,,
120,21,5,-63.73045199,-111.4468873,,,,,,,,
120,21,5.2,-63.81483804,-106.9741712,,,,,,,,
120,21,5.4,-63.80349685,-102.1219942,,,,,,,,
